TICKER,MID_PRICE,MID_YIELD,DURATION_MID,CONVEXITY_MID,BID_ASK_SPREAD,AVG_DAILY_TRADE_COUNT_60,SPREAD_ROLLING_STD,VOLUME_ROLLING_STD,YIELD_SPREAD,MARKET_REGIME,vol_regime,liquidity_score,VOLUME_ROLLING_STD_LOG,MID_YIELD_WINS,MID_YIELD_CAPPED
HST,93.49245232644031,5.4672122341026865,4.4622412442694035,0.2855952165978309,0.15714202834789825,5.632387520362268,0.06474440830475064,33.86243586058741,-0.00035728627943396745,Normal,medium,1.624340439251999,0.33862435860587414,0.05467212234102686,0.05467212234102686
HTZ,78.11259218318487,13.384374514105781,3.2051059624429823,0.1420571905861722,0.9376952206277914,9.742580249571152,0.23220335595958522,88.29370766105862,-0.004124354653117872,High Volatility,medium,2.8096907439029324,0.8829370766105862,0.13384374514105782,0.13384374514105782
INVH,90.04557088637507,5.121564895631031,4.524795016055793,0.2605549602332112,0.11554371818366929,6.212090929371615,0.01899176881388836,41.442493341863376,-0.0002753993301282343,Low Volatility,medium,1.7915227729642855,0.4144249334186338,0.05121564895631031,0.05121564895631031
IRSAAR,100.18229847745,8.689577345175,3.5131288063999997,0.15417755945999997,0.5105899999999999,5.0954999999999995,0.0834524417037382,156.18465469582463,-0.00143454486949995,High Volatility,medium,1.4695059028318074,1.5618465469582463,0.08689577345175,0.08689577345175
JLL,105.93197944323096,5.331789035267673,3.7419986043523523,0.17199023885371675,0.13936444646510565,20.20733303023687,0.00243032368002905,10.843349538246759,-0.0003441448043395733,Normal,medium,5.827650901466242,0.10843349538246759,0.05331789035267673,0.05331789035267673
KIM,96.84133197958744,5.280797271998803,5.083024583790055,0.39118481171042346,0.15873110302919474,5.877994767555102,0.08075079054723192,50.67785918079536,-0.00029409196844355215,Normal,medium,1.6951718197893633,0.5067785918079536,0.05280797271998803,0.05280797271998803
KRC,96.14050402566872,5.913817342752681,4.338174424946083,0.31627559091370505,0.23471664496111622,10.140305860464807,0.17689841827553174,165.93099628181315,-0.0004987479445469268,Normal,medium,2.92439197693514,1.6593099628181316,0.05913817342752681,0.05913817342752681
KRG,97.03846563393908,5.572368050179721,3.3301554531557875,0.20540445232254134,0.1386253698868579,5.2973153466936465,0.007093634624706966,15.13460097958778,-0.00040476025435155956,Normal,medium,1.527708011211429,0.1513460097958778,0.055723680501797206,0.055723680501797206
KW,84.14923814657062,8.426226081407085,4.677591438902613,0.26855712509227236,0.5100957719713383,6.930284349432542,0.061471975878698605,73.83201401336312,-0.0012896835710727937,High Volatility,high,1.9986446393472697,0.7383201401336312,0.08426226081407086,0.08426226081407086
LADR,91.81467902168224,6.871044664166368,3.790038386445441,0.18064978260155995,0.2633461321723872,5.47746559083581,0.048317465510024166,13.257038829897288,-0.000746991913030176,High Volatility,high,1.579662058343899,0.13257038829897289,0.06871044664166367,0.06871044664166367
MAA,97.5775399702038,4.984205596923159,4.686935702632726,0.3259226579753945,0.11221717649939286,5.816750885699684,0.052414952602506004,38.38157914553227,-0.00024398102410531583,Normal,medium,1.6775095205255284,0.38381579145532274,0.049842055969231594,0.049842055969231594
MGMGPO,95.21640450731697,6.542212730118608,2.3477028346789366,0.06911307183768917,0.15689999999999982,6.20622699386503,0.0035745928072673924,17.660541678350032,-0.0006906180462167245,Low Volatility,high,1.7898316557352107,0.1766054167835003,0.06542212730118609,0.06542212730118609
MIDAAPA,98.83494008918183,5.336022576590908,7.918480345545455,0.7613517510272728,0.18115454545454535,21.196969697,0.0834524417037382,156.18465469582466,-0.0002395698445454,Low Volatility,low,6.113055066605525,1.5618465469582465,0.05336022576590908,0.05336022576590908
NFLX,102.34274500161399,4.820350458136728,3.896981433745277,0.26696756179149994,0.07676702805120782,34.67492025844013,0.04202262643835877,279.14171044217875,-0.00018037431565070554,Normal,medium,10.0,2.7914171044217877,0.04820350458136728,0.04820350458136728
NHI,83.05723181106475,6.168779610304021,5.72906351125017,0.38126117923406044,0.28485916837127934,9.783934333103613,0.0031935897418552436,6.9693933194681605,-0.0005944162944693882,Normal,medium,2.821616967012961,0.0696939331946816,0.06168779610304021,0.06168779610304021
NMRK,101.86798200470665,7.028669945353955,3.900956515261784,0.1882078682050505,0.31501237373821545,6.515592592592593,0.00277139860480929,10.46036648960568,-0.000780422003914094,High Volatility,high,1.8790504906804073,0.1046036648960568,0.07028669945353955,0.07028669945353955
NNN,100.79891567928766,5.19752897470628,5.385231776339115,0.46792983991809417,0.18572776588151316,5.487411372853676,0.052350026305727826,16.917725480601604,-0.0003418245458457768,Normal,medium,1.582530351030295,0.16917725480601603,0.0519752897470628,0.0519752897470628
O,96.0853046432732,5.050495904045447,4.100725681900935,0.26201607814221345,0.1023790369884713,9.5597483368838,0.07196852603877199,158.64261236433123,-0.0002421260510647117,Low Volatility,medium,2.7569633226645665,1.5864261236433121,0.05050495904045447,0.05050495904045447
OHI,92.38384878445615,5.658270652841094,4.094538048760243,0.2449129886287846,0.16638665694782462,10.064766720378001,0.09276075257380782,160.76791948707597,-0.00042090319616890646,Normal,medium,2.9026070270278885,1.6076791948707596,0.05658270652841094,0.05658270652841094
